Solanum,Accession,Longitude,Latitude
Not determined,LA1047,-77.48333,-5.90833
S. neorickii,LA1132,-78.1,-5.91667
S. galapagense,LA1141,-90.75,-0.2
S. peruvianum,LA1161,-76.93333,-12
S. habrochaites,LA1223,-78.8506,-2.1959
S. lycopersicum,LA0763,-89.38333,13.63333
S. lycopersicum,LA1225,-78.13333,-2.36667
S. cheesmaniae,LA1040,-89.38389,-0.72583
S. lycopersicum,LA1227,-78.16,-2.49
S. lycopersicum,LA1228,-78.03,-2.17
S. lycopersicum,LA1229,-78.11667,-2.3
S. lycopersicum,LA1230,-78.11667,-2.31667
S. lycopersicum,LA1231,-77.81667,-0.98333
S. ochranthum,LA1232,-79.13333,-3.16667
S. pimpinellifolium,LA1236,-79.15,-0.25
S. pimpinellifolium,LA1237,-79.85,0.86667
S. chilense,LA1959,-71.0175,-17.18583
S. lycopersicum,LA1224,-77.98333,-1.46667
S. chmielewskii,LA1028,-73.01667,-13.88333
S. lycopersicum,LA1239,-79.7,0.98333
S. chilense,LA0869,-73.88333,-15.73333
S. cheesmaniae,LA0927,-90.30778,-0.74167
S. cheesmaniae,LA0928,-90.3,-0.75
S. galapagense,LA0929,-91.46667,0.1
S. galapagense,LA0930,-91.39111,-0.21472
S. cheesmaniae,LA0931,-90.835,-0.1825
S. cheesmaniae,LA0932,-91.36611,-0.27278
S. lycopersicum,LA1025,-158.01667,21.5
S. cheesmaniae,LA1042,-90.99389,-0.92056
S. arcanum,LA1027,-78.88222,-7.22694
S. cheesmaniae,LA1041,-90.26528,-0.66944
S. chilense,LA1029,-70.9,-17.16667
S. chilense,LA1030,-70.17417,-17.75833
S. arcanum,LA1031,-78.0475,-6.85694
S. arcanum,LA1032,-77.71333,-7.81111
S. galapagense,LA1034,-91.5575,-0.385
S. cheesmaniae,LA1035,-91.58306,-0.42861
S. cheesmaniae,LA1036,-91.35,-0.13333
S. cheesmaniae,LA1037,-91.11667,-0.4225
S. cheesmaniae,LA1039,-91.5325,-0.03889
S. lycopersicum,LA0765,-88.93333,13.71667
S. ochranthum,LA1026,-78.85,-6.36667
S. pimpinellifolium,LA2854,-80.58333,-1.35
S. habrochaites,LA2860,-79.55,-4.33333
S. peruvianum,LA2834,-74.81667,-14.76667
S. peruvianum,LA2835,-74.8,-14.75
S. pimpinellifolium,LA2836,-74.85,-14.78333
S. neorickii,LA2847,-77.98333,-5.91667
S. neorickii,LA2848,-78.05,-5.9
S. peruvianum,LA2849,-78.55,-5.51667
S. pimpinellifolium,LA2850,-80.65,-1.05
S. pimpinellifolium,LA2851,-80.66667,-1.05
S. pimpinellifolium,LA2832,-75.13333,-14.46667
S. pimpinellifolium,LA2853,-80.45,-1.05
S. pimpinellifolium,LA2831,-74.98333,-14.83333
S. chilense,LA3111,-70.03333,-17.46667
S. chilense,LA3112,-70.03333,-17.53333
S. chilense,LA3113,-70.02972,-17.5625
S. chilense,LA3114,-70.08444,-17.67639
S. habrochaites,LA2855,-79.95,-4.1
S. habrochaites,LA2856,-79.22917,-3.83389
S. pimpinellifolium,LA2857,-90.96667,-0.95
S. habrochaites,LA2858,-80.06667,-3.55
S. lycopersicoides,LA2954,-69.46667,-19.31667
S. pimpinellifolium,LA2852,-80.48333,-0.83333
S. lycopersicum,LA2790,-75.83528,5.68306
S. chilense,LA2779,-69.51667,-18.46667
S. chilense,LA2780,-69.51694,-18.49611
S. lycopersicoides,LA2781,-69.54028,-18.19917
S. lycopersicum,LA2782,-75.78333,6.06667
S. lycopersicum,LA2783,-75.78333,6.06667
S. lycopersicum,LA2784,-75.86667,5.65
S. lycopersicum,LA2785,-75.88333,5.7
S. lycopersicum,LA2786,-75.86667,5.65
S. lycopersicum,LA2787,-75.86667,5.65
S. pimpinellifolium,LA2833,-74.81667,-14.76667
S. lycopersicum,LA2789,-75.83806,5.65889
S. habrochaites,LA2861,-79.26667,-3.81667
S. lycopersicum,LA2791,-75.71667,5.7
S. lycopersicum,LA2792,-75.7,5.65
S. lycopersicum,LA2793,-75.7,5.68333
S. lycopersicum,LA2794,-75.68333,5.71667
S. lycopersicum,LA2807,-67.6,-15.83333
S. huaylasense,LA2808,-77.9,-8.86667
S. huaylasense,LA2809,-77.9,-8.86667
Other,LA2810,-77.74167,-6.23333
S. arcanum,LA2813,-78.5,-7.3
S. juglandifolium,LA2788,-75.77861,5.57944
S. lycopersicoides,LA2944,-69.58333,-18.18333
S. habrochaites,LA2859,-79.1746,-4.363
S. pimpinellifolium,LA2914B,-77.01667,-12.13333
S. pimpinellifolium,LA2915,-79.74528,-5.98472
S. arcanum,LA2917,-77.01667,-9.3
S. chilense,LA2930,-70.41667,-25.5
S. chilense,LA2931,-69.06667,-20.91667
S. chilense,LA2932,-70.225,-22.46806
S. pimpinellifolium,LA2933,-80.5625,-1.44167
S. pimpinellifolium,LA2934,-77.0375,-11.85444
S. neorickii,LA2913,-76.25,-10.23333
S. chilense,LA2943,-69.58333,-18.18333
S. chilense,LA2891,-70.42389,-25.4875
S. chilense,LA2945,-69.05,-20.81667
S. chilense,LA2946,-69.05,-20.91667
S. chilense,LA2947,-69.05,-20.91667
Other,LA2948,-69.05,-20.91667
S. chilense,LA2949,-69.18333,-19.68333
S. chilense,LA2950,-69.43333,-19.86667
S. lycopersicoides,LA2951,-69.45,-19.31667
S. chilense,LA2952,-69.5,-19.33333
S. peruvianum,LA1957,-71.77,-16.98694
S. peruvianum,LA2942,-69.86667,-18.33333
S. chilense,LA2880,-68.21667,-23.81667
S. neorickii,LA2862,-79.16667,-3.55
S. habrochaites,LA2863,-79.95,-4.38333
S. habrochaites,LA2864,-79.78333,-4.33333
S. neorickii,LA2865,-79.15,-3.41667
S. habrochaites,LA2867,-79.95,-4.11667
S. habrochaites,LA2868,-80.0494,-3.7569
S. habrochaites,LA2869,-79.36667,-4.11667
S. sitiens,LA2876,-68.96667,-22.31667
S. sitiens,LA2877,-69.1,-22.28333
S. pimpinellifolium,LA2914A,-77.01667,-12.13333
S. chilense,LA2879,-68.06139,-23.68528
S. lycopersicoides,LA2776,-69.59472,-18.2025
S. chilense,LA2881,-67.93361,-23.57722
S. chilense,LA2882,-67.95,-23.4
S. chilense,LA2883,-68.24278,-22.27917
S. chilense,LA2884,-68.36083,-22.24778
S. sitiens,LA2885,-68.98333,-23.03333
S. chilense,LA2886,-70.44694,-25.3225
S. chilense,LA2887,-70.43472,-25.24083
S. chilense,LA2888,-70.45,-25.01667
S. chilense,LA2889,-70.52056,-24.88806
S. sitiens,LA2878,-68.98333,-22.33333
S. pennellii,LA2719,-76.49083,-12.27139
S. chilense,LA2778,-69.55,-18.38333
S. lycopersicum,LA2690,-71.35889,-12.88833
S. lycopersicum,LA2691,-71.16667,-13.13333
S. lycopersicum,LA2692,-71.40361,-12.90917
S. lycopersicum,LA2693,-71.40361,-12.90917
S. lycopersicum,LA2694,-71.21667,-13.13333
S. chmielewskii,LA2695,-71.76167,-13.95722
S. lycopersicum,LA2699,-67.73333,-16.18333
S. lycopersicum,LA2710,-43.08333,-20.66667
S. lycopersicum,LA2688,-71.30111,-12.67833
S. pimpinellifolium,LA2718,-76.70528,-12.47556
S. lycopersicum,LA2686,-71.36639,-12.7675
S. pennellii,LA2720,-75.97,-12.83972
S. corneliomulleri,LA2721,-75.96556,-12.65778
S. habrochaites,LA2722,-75.95833,-12.58861
S. habrochaites,LA2723,-75.91528,-12.46056
S. corneliomulleri,LA2724,-75.88528,-12.45472
S. pimpinellifolium,LA2725,-75.86944,-13.71833
S. lycopersicum,LA2726,-75.86944,-13.71833
S. neorickii,LA2727,-79.16667,-3.45
S. habrochaites,LA2728,-79.25,-3.81667
S. corneliomulleri,LA2717,-76.70528,-12.47556
S. lycopersicum,LA2676,-69.15389,-14.22
S. lycopersicum,LA2638,-73.81667,-13.43333
S. neorickii,LA2639A,-72.59167,-13.55833
S. chmielewskii,LA2639B,-72.59167,-13.55833
S. lycopersicum,LA2668,-69.06694,-14.1525
S. lycopersicum,LA2669,-69.025,-14.1
S. lycopersicum,LA2670,-69.025,-14.1
S. lycopersicum,LA2671,-69.15083,-14.22083
S. lycopersicum,LA2672,-70.45583,-13.58667
S. lycopersicum,LA2673,-70.44778,-13.57222
S. lycopersicum,LA2689,-71.30111,-12.67
S. lycopersicum,LA2675,-70.46056,-13.63694
S. chilense,LA2731,-69.51667,-19.35
S. chmielewskii,LA2677,-72.32028,-13.6875
S. chmielewskii,LA2678,-72.32167,-13.6875
S. chmielewskii,LA2679,-72.33444,-13.69
S. chmielewskii,LA2680,-72.34,-13.68806
S. chmielewskii,LA2681,-72.34639,-13.68944
S. ochranthum,LA2682,-72.23639,-13.63389
S. lycopersicum,LA2683,-71.33333,-13.13333
S. lycopersicum,LA2684,-71.23333,-13.13333
S. lycopersicum,LA2685,-71.35528,-13.87972
S. lycopersicum,LA2674,-70.44139,-13.535
S. chilense,LA2767,-69.68333,-18.81667
S. chilense,LA2755,-69.18111,-19.68417
S. chilense,LA2757,-69.27444,-19.7675
S. chilense,LA2758,-69.37722,-20.07611
S. chilense,LA2759,-69.22139,-20.06667
S. chilense,LA2760,-69.18583,-20.07417
S. chilense,LA2761,-69.19556,-20.12667
S. chilense,LA2762,-69.21667,-20.05
S. chilense,LA2763,-69.20444,-20.02056
S. chilense,LA2764,-69.75,-18.83333
S. chilense,LA2729,-69.55,-19.38333
S. peruvianum,LA2766,-69.68333,-18.81667
S. chilense,LA2752,-69.38056,-19.86417
S. chilense,LA2768,-69.7,-18.85
S. peruvianum,LA2769,-70.18333,-18.8
S. peruvianum,LA2770,-70.3,-18.4
S. chilense,LA2771,-69.8625,-18.47583
S. lycopersicoides,LA2772,-69.63333,-18.36667
S. chilense,LA2773,-69.63333,-18.36667
S. chilense,LA2774,-69.6,-18.25
S. chilense,LA2775,-69.56667,-18.23333
S. chilense,LA2955,-69.45,-19.31667
S. chilense,LA2765,-69.68333,-18.76667
S. peruvianum,LA2742,-69.75,-19
S. lycopersicoides,LA2777,-69.56278,-18.20194
S. peruvianum,LA2732,-69.51667,-19.35
Other,LA2733,-69.6,-19.4
S. lycopersicoides,LA2734,-69.5,-19.33333
S. chilense,LA2735,-69.425,-19.30833
S. lycopersicoides,LA2736,-69.5,-19.33333
S. chilense,LA2737,-69.41667,-19.25
S. chilense,LA2738,-69.41667,-19.25
S. chilense,LA2739,-69.41667,-19.25
S. chilense,LA2754,-69.28222,-19.77472
S. peruvianum,LA2741,-69.83333,-19
S. chilense,LA2753,-69.33722,-19.85639
S. chilense,LA2743,-70.05944,-18.57583
S. peruvianum,LA2744,-70.15,-18.55
S. peruvianum,LA2745,-69.93333,-18.58333
S. chilense,LA2746,-69.93333,-18.58333
S. chilense,LA2747,-69.9,-18.58333
S. chilense,LA2748,-69.54778,-21.21333
S. chilense,LA2749,-70.21222,-22.16917
S. chilense,LA2750,-70.16306,-22.07028
S. chilense,LA2751,-69.43,-19.86444
S. lycopersicoides,LA2730,-69.51667,-19.35
S. chilense,LA2740,-69.41667,-19.25
S. chilense,LA4109,-70.51611,-24.91417
S. chilense,LA4118,-68.035,-23.1575
S. lycopersicoides,LA4018,-70.25,-17.33333
S. lycopersicoides,LA4019,-69.93333,-17.76667
S. neorickii,LA4020,-79.33333,-3.9
S. neorickii,LA4021,-78.88333,-2.85
S. neorickii,LA4023,-78.76667,-2.78333
S. pimpinellifolium,LA4027,-79.7175,-5.995
S. sitiens,LA4105,-69.24139,-24.21056
S. chilense,LA4106,-70.43278,-25.48139
S. habrochaites,LA3864,-79.18333,-4.38333
S. chilense,LA4108,-70.47583,-25.0525
S. habrochaites,LA3863,-79.78333,-4.33333
S. sitiens,LA4110,-69.04,-23.0925
S. sitiens,LA4111,-69.03333,-23.09778
S. sitiens,LA4112,-68.94806,-22.61722
S. sitiens,LA4113,-68.76222,-22.23472
S. sitiens,LA4114,-68.75667,-22.19056
S. sitiens,LA4115,-68.75917,-22.14694
S. sitiens,LA4116,-68.78167,-22.15944
S. chilense,LA4117A,-67.94083,-22.9075
S. chilense,LA2953,-69.43333,-19.3
S. chilense,LA4107,-70.44611,-25.31889
S. pennellii,LA3665,-75.25889,-14.50222
S. chmielewskii,LA3654,-73.02806,-13.90083
S. neorickii,LA3655,-73.01667,-13.93333
S. chmielewskii,LA3656,-73.02806,-13.83972
S. neorickii,LA3657,-73.05,-13.88944
S. chmielewskii,LA3658,-73.25,-14.05
S. chmielewskii,LA3659,-73.06944,-13.92833
S. neorickii,LA3660,-73.06944,-13.91667
S. chmielewskii,LA3661,-73.18389,-14.00861
S. chmielewskii,LA3662,-73.15,-13.91667
S. galapagense,LA3909,-90.55222,-0.28056
S. corneliomulleri,LA3664,-74.71667,-14.83333
S. chilense,LA4119,-67.93389,-23.55389
S. corneliomulleri,LA3666,-75.40917,-14.46306
Other,LA3774,-77.175,-9.58333
Other,LA3775,-71.97806,-13.51833
S. pennellii,LA3778,-75.03417,-14.77528
S. peruvianum,LA3779,-73.52611,-16.25139
S. chilense,LA3780,-73.52611,-16.25139
S. peruvianum,LA3781,-73.52611,-16.25028
S. peruvianum,LA3782,-73.65472,-16.21556
S. habrochaites,LA3862,-79.4,-4.2
S. chmielewskii,LA3663,-73.3,-14.11667
S. chilense,LA4334,-68.04444,-23.63
S. chilense,LA4117B,-67.94083,-22.9075
S. chilense,LA4324,-69.77417,-18.21806
S. peruvianum,LA4325,-70.33028,-18.75444
S. lycopersicoides,LA4326,-69.69583,-18.96833
S. chilense,LA4327,-69.65472,-18.935
S. peruvianum,LA4328,-69.61389,-18.92
S. chilense,LA4329,-68.48056,-22.30889
S. chilense,LA4330,-68.31972,-22.35083
S. sitiens,LA4331,-68.82083,-22.96944
S. lycopersicoides,LA4322,-69.76083,-18.43083
S. chilense,LA4333,-67.94139,-23.29611
S. chilense,LA4321,-69.75944,-18.47917
S. chilense,LA4335,-68.27528,-23.80361
S. chilense,LA4336,-70.43722,-25.26917
S. chilense,LA4337,-70.46222,-25.02694
S. chilense,LA4338,-70.41139,-25.50222
S. chilense,LA4339,-70.47222,-25.5375
S. peruvianum,LA4445,-70.05,-18.56667
S. peruvianum,LA4446,-69.96667,-18.56667
S. habrochaites,LA4654,-79.19167,-3.20917
S. habrochaites,LA4655,-79.21806,-3.23222
S. chilense,LA4332,-68.52194,-22.60889
S. lycopersicoides,LA4131,-69.55056,-18.92583
S. chilense,LA4120,-69.04111,-20.79528
S. chilense,LA4121,-69.28,-19.87889
S. chilense,LA4122,-69.20194,-19.5425
S. lycopersicoides,LA4123,-69.42056,-19.30611
S. chilense,LA4124,-69.42056,-19.30611
S. peruvianum,LA4125,-69.42056,-19.30611
S. lycopersicoides,LA4126,-69.39611,-19.28722
S. chilense,LA4127,-69.67333,-18.8725
S. peruvianum,LA4128,-69.60417,-18.90806
S. lycopersicoides,LA4323,-69.5425,-18.20806
S. lycopersicoides,LA4130,-69.60417,-18.90806
S. neorickii,LA3651,-72.86667,-13.76667
S. chilense,LA4132,-69.55056,-18.92583
S. lycopersicum,LA4133,-157.66083,21.31278
S. habrochaites,LA4137,-78.35,-7.16667
S. pimpinellifolium,LA4138,-76.95139,-12.09667
S. arcanum,LA4316,-78.83333,-7.13333
S. peruvianum,LA4317,-70.31444,-18.41639
S. peruvianum,LA4318,-69.87694,-18.35111
S. chilense,LA4319,-69.81639,-18.31861
S. lycopersicoides,LA4320,-69.805,-18.31778
S. chilense,LA4129,-69.60417,-18.90806
S. lycopersicum,LA3222,-77.05,-12.11667
S. chmielewskii,LA3653,-72.86667,-13.76667
S. lycopersicum,LA3126,-79.28333,-4.23333
S. chilense,LA3153,-70.84944,-17.07167
S. corneliomulleri,LA3154,-70.88333,-16.91667
S. chilense,LA3155,-70.87778,-16.74444
S. corneliomulleri,LA3156,-70.97,-16.83694
S. corneliomulleri,LA3157,-76.67639,-12.02806
S. peruvianum,LA3218,-72.08333,-16.95
S. corneliomulleri,LA3219,-72.08333,-17.01667
S. pimpinellifolium,LA3123,-90.38306,-0.62333
S. lycopersicum,LA3221,-77.05,-12.11667
S. chilense,LA3116,-70.33889,-18.10167
S. lycopersicum,LA3223,-77.05,-12.11667
S. lycopersicum,LA3224,-77.05,-12.11667
S. lycopersicum,LA3225,-77.05,-12.11667
S. lycopersicum,LA3226,-77.05,-12.11667
S. lycopersicum,LA3227,-77.05,-12.11667
S. juglandifolium,LA3322,-78.69722,-0.27972
S. juglandifolium,LA3323,-78.76667,-0.45
S. juglandifolium,LA3324,-79.08333,-3.96667
S. juglandifolium,LA3325,-77.81667,-0.61667
S. peruvianum,LA3220,-71.75,-17.05
S. habrochaites,LA2975,-77.68333,-9.55
S. lycopersicoides,LA2956,-69.51667,-19.35
S. chilense,LA2957,-69.51667,-19.35
S. peruvianum,LA2957B,-69.51667,-19.35
S. peruvianum,LA2958,-70.33333,-18.75
S. peruvianum,LA2959,-70.33333,-18.75
S. corneliomulleri,LA2962,-72.625,-15.84167
S. pennellii,LA2963,-72.49028,-16.025
S. peruvianum,LA2964,-70.835,-18.02833
S. chilense,LA2965,-70.05833,-17.85
S. cheesmaniae,LA3124,-90.04167,-0.80389
S. pimpinellifolium,LA2974,-78.99444,-8.13333
S. chilense,LA3356,-70.26667,-18.01667
S. habrochaites,LA2976,-77.7,-9.55833
S. lycopersicum,LA2977,-66.63333,-14.91667
S. lycopersicum,LA2978,-66.63333,-14.91667
S. chilense,LA2980,-70.86028,-17.09833
S. chilense,LA2981A,-70.83972,-17.05
S. corneliomulleri,LA2981B,-70.83972,-17.05
S. pimpinellifolium,LA2982,-76.76278,-12.53194
S. pimpinellifolium,LA2983,-76.76278,-12.53194
S. chilense,LA3115,-70.22111,-17.80528
S. pimpinellifolium,LA2966,-76.95,-12.08333
S. pimpinellifolium,LA3798,-77.44278,-10.65472
S. peruvianum,LA3787,-73.74167,-15.57361
S. pennellii,LA3788,-73.64278,-16.13833
S. pennellii,LA3789,-73.60194,-16.00278
S. peruvianum,LA3790,-73.39389,-15.78778
S. pennellii,LA3791,-73.39389,-15.78778
S. peruvianum,LA3792,-74.35083,-15.76722
S. neorickii,LA3793,-76.19583,-10.36694
S. habrochaites,LA3794,-77.3625,-10.15028
S. huaylasense,LA3795,-77.35,-10.15
S. juglandifolium,LA3326,-78.98333,-1.81667
S. huaylasense,LA3797,-77.49472,-10.11972
S. chilense,LA3784,-73.85056,-15.73111
S. huaylasense,LA3799,-77.44278,-10.65472
S. pimpinellifolium,LA3803,-79.44167,-7.15833
S. habrochaites,LA3804,-78.53333,-7.16667
S. pimpinellifolium,LA3852,-76.88333,-12.23333
S. habrochaites,LA3854,-78.73333,-7.71667
S. chmielewskii,LA3648,-72.33333,-13.68333
S. ochranthum,LA3649,-72.64833,-14.06278
S. ochranthum,LA3650,-72.84389,-13.80083
S. lycopersicum,LA2633,-72.53944,-13.00639
S. habrochaites,LA3796,-77.49472,-10.11972
S. corneliomulleri,LA3637,-76.4,-12.68333
S. lycopersicum,LA3652,-72.86667,-13.76667
S. chilense,LA3357,-70.33333,-18.05
S. chilense,LA3358,-70.21667,-18.06667
S. pimpinellifolium,LA3467,-80.93333,-3.98333
S. pimpinellifolium,LA3468,-76.96667,-12.16667
S. juglandifolium,LA3622,-77.83333,-0.76667
S. lycopersicum,LA3623,-80.28333,-0.96667
S. lycopersicum,LA3624,-77.83333,-1.16667
S. pimpinellifolium,LA3634,-76.53333,-12.76667
S. chilense,LA3786,-73.74167,-15.57361
S. peruvianum,LA3636,-76.4,-12.68333
S. chilense,LA3785,-73.80111,-15.61583
S. pimpinellifolium,LA3638,-76.31667,-12.56667
S. corneliomulleri,LA3639,-76.31667,-12.56667
S. chmielewskii,LA3642,-71.83444,-13.81361
S. chmielewskii,LA3643,-71.83361,-13.99
S. chmielewskii,LA3644,-71.93694,-13.82778
S. chmielewskii,LA3645,-71.93944,-13.83639
S. lycopersicum,LA3646,-71.95,-13.83333
S. ochranthum,LA3647,-72.23639,-13.63389
S. corneliomulleri,LA3783,-73.85056,-15.73111
S. chilense,LA3355,-70.3,-18.05
S. pennellii,LA3635,-76.3,-12.53333
S. pimpinellifolium,LA2187,-78.05,-5.925
S. neorickii,LA2200,-77.73333,-6.26667
S. lycopersicum,LA2177E,-78.99,-5.15
S. lycopersicum,LA2177F,-78.99,-5.15
S. pimpinellifolium,LA2178,-78.72333,-5.65111
S. pimpinellifolium,LA2180,-78.87,-5.43
S. pimpinellifolium,LA2181,-78.78306,-5.77583
S. pimpinellifolium,LA2182,-78.66278,-5.93083
S. pimpinellifolium,LA2183,-78.67,-5.74
S. pimpinellifolium,LA2184,-78.55056,-5.5875
S. lycopersicum,LA2177B,-78.99,-5.15
S. pimpinellifolium,LA2186,-78.16667,-5.89167
S. lycopersicum,LA2177A,-78.9925,-5.16083
S. neorickii,LA2190,-78.06667,-5.925
S. neorickii,LA2192,-77.90833,-5.79167
S. neorickii,LA2193,-77.91861,-6.05806
S. neorickii,LA2194,-77.90611,-6.23167
S. neorickii,LA2195,-77.9,-6.20556
S. habrochaites,LA2196,-77.91139,-6.18111
S. neorickii,LA2197,-77.89611,-6.10778
S. neorickii,LA2198,-77.81667,-6.275
S. lycopersicum,LA2635,-72.53944,-13.00639
S. arcanum,LA2185,-78.55,-5.51222
S. ochranthum,LA2166,-79.02222,-6.33861
S. peruvianum,LA2148,-78.91667,-7.21667
S. pimpinellifolium,LA2149,-78.78778,-7.21806
S. arcanum,LA2150,-78.78778,-7.21806
S. arcanum,LA2151,-78.625,-7.275
S. habrochaites,LA2159,-78.87111,-6.45167
S. ochranthum,LA2160,-78.85,-6.4
S. ochranthum,LA2161,-78.87083,-6.41833
S. ochranthum,LA2162,-78.75,-6.36667
S. arcanum,LA2163,-78.89833,-6.49444
S. lycopersicum,LA2177C,-78.99,-5.15
S. ochranthum,LA2165,-79.01667,-6.4
S. neorickii,LA2201,-77.7,-6.21667
S. habrochaites,LA2167,-78.50778,-7.16972
S. arcanum,LA2168,-78.16667,-7.33333
S. arcanum,LA2169,-78.88083,-6.47611
S. pimpinellifolium,LA2170,-79.2,-7.23
S. habrochaites,LA2171,-79.5448,-5.9254
S. arcanum,LA2172,-78.90806,-6.00056
S. habrochaites,LA2174,-78.96667,-5.11667
S. habrochaites,LA2175,-79.00833,-5.14167
S. pimpinellifolium,LA2176,-79.00833,-5.14167
S. arcanum,LA2164,-78.92528,-6.46972
S. lycopersicum,LA2236,-77.09139,-6.08139
S. habrochaites,LA2199,-77.83333,-6.23333
S. lycopersicum,LA2226,-76.96667,-6.05
S. lycopersicum,LA2227,-76.96667,-6.05
S. lycopersicum,LA2228,-76.96667,-6.05
S. lycopersicum,LA2229,-76.96667,-6.05
S. lycopersicum,LA2230,-76.96667,-6.05
S. lycopersicum,LA2231,-76.96667,-6.05
S. lycopersicum,LA2232,-76.96667,-6.05
S. lycopersicum,LA2233,-76.96667,-6.05
S. lycopersicum,LA2224,-76.96667,-6.05
S. lycopersicum,LA2235,-76.96667,-6.05
S. lycopersicum,LA2223,-76.96667,-6.05
S. lycopersicum,LA2237,-77.075,-6.08333
S. lycopersicum,LA2238,-77.075,-6.08333
S. lycopersicum,LA2239,-77.075,-6.08333
S. lycopersicum,LA2240,-77.075,-6.08333
S. lycopersicum,LA2241,-77.075,-6.08333
S. lycopersicum,LA2242,-77.075,-6.08333
S. lycopersicum,LA2243,-77.075,-6.08333
S. lycopersicum,LA2244,-77.075,-6.08333
S. lycopersicum,LA2245,-77.10194,-6.13972
S. lycopersicum,LA2234,-76.96667,-6.05
S. lycopersicum,LA2213,-77.33333,-5.85
S. neorickii,LA2202,-77.8975,-6.11583
S. ochranthum,LA2203,-77.98472,-5.83417
S. habrochaites,LA2204,-77.86611,-5.79722
S. lycopersicum,LA2205A,-77.55056,-5.7325
S. lycopersicum,LA2206,-77.39889,-5.80611
S. lycopersicum,LA2207,-77.3825,-5.81528
S. lycopersicum,LA2208,-77.3825,-5.81528
S. lycopersicum,LA2209,-77.3825,-5.81528
S. lycopersicum,LA2210,-77.3825,-5.81528
S. lycopersicum,LA2225,-76.96667,-6.05
S. lycopersicum,LA2212,-77.3825,-5.81528
S. pimpinellifolium,LA2145,-79.28333,-1.78333
S. lycopersicum,LA2214,-77.33333,-5.85
S. lycopersicum,LA2215,-77.33333,-5.85
S. lycopersicum,LA2216,-77.33333,-5.85
S. lycopersicum,LA2217,-77.33333,-5.85
S. lycopersicum,LA2218,-77.33333,-5.85
S. lycopersicum,LA2219,-77.33333,-5.85
S. lycopersicum,LA2220,-77.33333,-5.85
S. lycopersicum,LA2221,-76.96667,-6.05
S. lycopersicum,LA2222,-76.96667,-6.05
S. lycopersicum,LA2211,-77.3825,-5.81528
S. habrochaites,LA2098,-79.81278,-4.36583
S. pimpinellifolium,LA2147,-78.98333,-7.2
S. lycopersicoides,LA1991,-69.94194,-17.76556
S. pimpinellifolium,LA1992,-76.75,-12.06667
S. arcanum,LA2066,-79.13333,-7.25
S. huaylasense,LA2068,-77.6,-10.3
S. habrochaites,LA2092,-78.96361,-1.98028
S. pimpinellifolium,LA2093,-79.88806,-3.62806
S. lycopersicum,LA2094,-79.6425,-3.86444
S. lycopersicum,LA2095,-79.64611,-3.93528
S. huaylasense,LA1981,-77.82889,-8.82972
S. pimpinellifolium,LA2097,-79.91806,-4.39389
S. habrochaites,LA1980,-77.3525,-10.15667
S. habrochaites,LA2099,-79.80222,-4.35306
S. habrochaites,LA2100,-79.79639,-4.36
S. habrochaites,LA2101,-79.5625,-4.33222
S. pimpinellifolium,LA2102,-79.4675,-4.40167
S. habrochaites,LA2103,-79.45,-4.23333
S. habrochaites,LA2104,-79.40444,-4.22806
S. habrochaites,LA2105,-79.19889,-4.03417
S. habrochaites,LA2106,-79.23,-4.20333
S. habrochaites,LA2107,-79.21667,-4.18333
S. pimpinellifolium,LA2096,-79.64972,-4.05056
S. chilense,LA1970,-70.0425,-17.46528
S. habrochaites,LA4656,-80.09028,-1.04889
S. chilense,LA1960,-70.86667,-17.08333
S. chilense,LA1961,-70.61667,-17.23333
S. chilense,LA1962,-70.31667,-17.95
S. chilense,LA1963,-70.31667,-18.06667
S. lycopersicoides,LA1964,-69.90889,-17.75472
S. chilense,LA1965,-69.93889,-17.76667
S. lycopersicoides,LA1966,-69.95889,-17.77639
S. chilense,LA1967,-70.15528,-17.89722
S. lycopersicoides,LA1990,-69.99778,-17.81194
S. chilense,LA1969,-70.02833,-17.55278
S. habrochaites,LA2110,-79.17528,-4.36694
S. chilense,LA1971,-70.03806,-17.58806
S. chilense,LA1972,-70.52611,-17.83861
S. corneliomulleri,LA1973,-71.65222,-16.29333
S. sitiens,LA1974,-68.93333,-22.31667
S. peruvianum,LA1975,-76.48333,-12.26667
S. lycopersicum,LA1976A,-70.16083,-17.91
S. peruvianum,LA1977,-76.46444,-12.12194
S. habrochaites,LA1978,-77.48444,-10.1075
S. huaylasense,LA1979,-77.48444,-10.1075
S. chilense,LA1968,-70.17639,-17.76167
S. lycopersicum,LA2138A,-78.20806,-2.65861
S. lycopersicum,LA2127,-78.77861,-3.89139
S. habrochaites,LA2128,-78.7802,-3.8936
S. lycopersicum,LA2129,-78.60639,-3.69222
S. lycopersicum,LA2130,-78.58028,-3.40306
S. lycopersicum,LA2131,-78.55528,-3.45444
S. lycopersicum,LA2132,-78.53083,-3.53083
S. neorickii,LA2133,-79.18333,-3.4
S. juglandifolium,LA2134,-79.03333,-3.18333
S. lycopersicum,LA2135,-78.36667,-2.98333
S. habrochaites,LA2108,-79.15917,-4.40694
S. lycopersicum,LA2137,-78.2,-2.66667
S. lycopersicum,LA2126B,-78.69722,-3.93056
S. lycopersicum,LA2138B,-78.26667,-2.63333
S. lycopersicum,LA2139A,-78.19417,-2.61833
S. lycopersicum,LA2139B,-78.18333,-2.6
